Codigo_Sage;Código Sage Recortado;Descripcion_Sage;Codigo_Odoo;Descripcion_Odoo
5460000;546000;Intereses a C/P de valores representativos deudas;546000;Intereses a corto plazo de valores representativos de deudas
5470000;547000;Intereses a C/P de créditos;547000;Intereses a corto plazo de créditos
5480000;548000;Imposiciones a C/P;548000;Imposiciones a corto plazo
5490000;549000;Desembolsos pdtes. s/particip. en Patr.Neto a C/P;549000;Desembolsos pendientes sobre participaciones en el patrimonio neto a corto plazo
5500000;550000;Titular de la explotación;550000;Titular de la explotación
5510000;551000;CUENTA CORRIENTE CON SOCIOS Y ADMINISTRADORES;551000;Cuenta corriente con socios y administradores
5523000;552300;Cuenta corriente con empresas del grupo;552300;Cuenta corriente con empresas del grupo
5524000;552400;Cuenta corriente con empresas asociadas;552400;Cuenta corriente con empresas asociadas
5525000;552500;Cuenta corriente con otras partes vinculadas;552500;Cuenta corriente con otras partes vinculadas
5540000;554000;C.C.uniones tempor.de empresas y comunid.de bienes;554000;Cuenta corriente con uniones temporales de empresas y comunidades de bienes
5550000;555000;Partidas pendientes de aplicación;555000;Partidas pendientes de aplicación
5563000;556300;Desembolsos exigidos sobre particip., grupo;556300;Desembolsos exigidos sobre participaciones, empresas del grupo
5564000;556400;Desembolsos exigidos sobre particip., asoc.;556400;Desembolsos exigidos sobre participaciones, empresas asociadas
5565000;556500;Desembolsos exigidos sobre particip., otras vinc.;556500;Desembolsos exigidos sobre participaciones, otras partes vinculadas
5566000;556600;Desembolsos exigidos sobre particip.de otras empre;556600;Desembolsos exigidos sobre participaciones de otras empresas
5570000;557000;Dividendo activo a cuenta;557000;Dividendo activo a cuenta
5580000;558000;Socios por desembol.exigidos s/accion o part.ordi.;558000;Socios por desembolsos exigidos sobre acciones o participaciones ordinarias
5585000;558500;Socios por desembol.exigidos s/accion pasivos fin.;558500;Socios por desembolsos exigidos sobre acciones o participaciones consideradas como pasivos financieros
5590000;559000;Activos por derivados financieros C/P;559000;Activos por derivados financieros a corto plazo, cartera de negociación
5595000;559500;Pasivos por derivados financieros C/P;559500;Pasivos por derivados financieros a corto plazo, cartera de negociación
5600000;560000;Fianzas recibidas a C/P;560000;Fianzas recibidas a corto plazo
5610000;561000;Depósitos recibidos a C/P;561000;Depósitos recibidos a corto plazo
5650000;565000;Fianzas constituidas a C/P;565000;Fianzas constituidas a corto plazo
5660000;566000;Depósitos constituidos a C/P;566000;Depósitos constituidos a corto plazo
5670000;567000;Intereses pagados por anticipado;567000;Intereses pagados por anticipado
5680000;568000;Intereses cobrados por anticipado;568000;Intereses cobrados por anticipado
5700000;570000;Caja, euros;570000;Caja, euros
5710000;571000;Caja, moneda extranjera;571000;Caja, moneda extranjera
5720000;572000;Bancos e instituciones de crédito c/c vista, euros;572000;Bancos e instituciones de crédito c/c vista, euros
5720001;572000;KUTXABANK, S.A;572000;Bancos e instituciones de crédito c/c vista, euros
5730000;573000;Bancos e institucion.crédito c/c vista,moneda extr;573000;Bancos e instituciones de crédito c/c vista, moneda extranjera
5740000;574000;Bancos e instituc.crédito,cuentas de ahorro,euros;574000;Bancos e instituciones de crédito, cuentas de ahorro, euros
5750000;575000;Bancos e instituc.crédito ctas.ahorro,moneda extr;575000;Bancos e instituciones de crédito, cuentas de ahorro, moneda extranjera
5760000;576000;Inversiones a C/P de gran liquidez;576000;Inversiones a corto plazo de gran liquidez
5933000;593300;Deterioro de valor de participaciones C/P en grupo;593300;Deterioro de valor de participaciones a corto plazo en empresas del grupo
5934000;593400;Deterioro de valor de participaciones C/P en asoc.;593400;Deterioro de valor de participaciones a corto plazo en empresas asociadas
5935000;593500;Deterioro valor particip.a C/P otras partes vinc.;593500;Deterioro de valor de participaciones a corto plazo en otras partes vinculadas
5943000;594300;Deterioro valor de valores repres.deuda C/P grupo;594300;Deterioro de valor de valores representativos de deuda a corto plazo de empresas del grupo
5944000;594400;Deterioro valor de valores repres.deuda C/P asoc.;594400;Deterioro de valor de valores representativos de deuda a corto plazo de empresas asociadas
5945000;594500;Deterioro valor de valores rep.deuda C/P ot.vinc.;594500;Deterioro de valor de valores representativos de deuda a corto plazo de otras partes vinculadas
5953000;595300;Deterioro de valor de créditos a C/P a grupo;595300;Deterioro de valor de créditos a corto plazo a empresas del grupo
